Serial number,Price,Area(house sq.ft),Location
700,17000000,1810,Kharghar
701,9500000,1210,Kharghar
702,31100000,3275,Kharghar
703,30400000,3205,Kharghar
704,12300000,1305,Kharghar
705,11600000,1230,Kharghar
706,16000000,1725,Kharghar
707,9600000,1210,Kharghar
708,16500000,1660,Kharghar
709,18500000,1700,Kharghar
710,15500000,1130,Kharghar
711,17900000,1810,Kharghar
712,13300000,1482,Kharghar
713,28000000,1890,Kandivali East
714,8500000,484,Kanjurmarg
715,180000000,2200,juhu tara
716,3000000,320,Mira Road and Beyond
717,29400000,1618,Goregaon East
718,31000000,1475,Kandivali East
719,24500000,1350,Kandivali East
720,22000000,1300,Borivali West
721,16000000,970,Malad West
722,17500000,1500,Kandivali West
723,31500000,1786,Kandivali East
724,26500000,1500,Kandivali West
725,47000000,1920,Kandivali East
726,21000000,1350,Kandivali East
727,6100000,400,Kandivali East
728,100000000,2000,Peddar Road
729,13500000,640,Bhandup West
730,5500000,510,Bhandup West
731,4500000,650,Ulwe
732,16500000,1175,Palm Beach
733,4800000,661,Mira Road East
734,21500000,1500,Goregaon West
735,360000000,5476,Lower Parel
736,5500000,619,Sector 21 Kamothe
737,5600000,619,Sector 21 Kamothe
738,9500000,1250,Sector 21 Kamothe
739,7000000,995,Sector12 Kamothe
740,16000000,1700,Sector12 Kamothe
741,10500000,1420,Sector 18 Kamothe
742,7600000,1100,Sector 19 Kharghar
743,7400000,1080,Sector 20 Kharghar
744,7000000,1080,Sector 20 Kharghar
745,3200000,410,Sector 22 Kamothe
746,5000000,650,Sector 20 Kharghar
747,6400000,925,Sector 10
748,8500000,1200,Sector 20 Kharghar
749,8700000,1160,Sector 19 Kamothe
750,8200000,1005,Panvel
751,6500000,1255,Kamothe
752,8300000,1256,Sector 20 Kamothe
753,18500000,1150,Tilak Nagar
754,9350000,1236,Kamothe
755,10000000,1700,Kamothe
756,7000000,1003,Kamothe
757,5800000,1000,Kamothe
758,4800000,653,Kamothe
759,11000000,1575,Kamothe
760,8500000,1089,Kamothe
761,48000000,1296,Vasai
762,72500000,2014,Ghatkopar West
763,70000000,1503,Tardeo
